[0.0 <= x < 30.0; y_0= 68.0 + 0.0333x; interpolation
, 30.0 <= x < 60.0; y_1= 68.0 + 0.4667x; interpolation
, 60.0 <= x < 90.0; y_2= 97.0 + -0.5x; interpolation
, 90.0 <= x < 120.0; y_3= 57.0 + 0.1667x; interpolation
, 120.0 <= x < 150.0; y_4= 27.0 + 0.5x; interpolation
, 150.0 <= x < 180.0; y_5= 147.0 + -0.5x; interpolation
, 180.0 <= x < 210.0; y_6= -23.0 + 0.6333x; interpolation
, 210.0 <= x < 240.0; y_7= 139.0 + -0.2667x; interpolation
, 240.0 <= x < 270.0; y_8= 160.0 + -0.3667x; interpolation
, 270.0 <= x < 300.0; y_9= 48.0 + 0.1x; interpolation
, 300.0 <= x < 330.0; y_10= -105.0 + 0.6667x; interpolation
, 330.0 <= x < 360.0; y_11= 135.0 + -0.1333x; interpolation
, 360.0 <= x < 390.0; y_12= 322.0 + -0.7x; interpolation
, 390.0 <= x < 420.0; y_13= 10.0 + 0.1667x; interpolation
, 420.0 <= x < 450.0; y_14= -159.0 + 0.6x; interpolation
, 450.0 <= x < 480.0; y_15= 149.0 + -0.1333x; interpolation
, 480.0 <= x < 510.0; y_16= 314.0 + -0.5x; interpolation
, 510.0 <= x < 540.0; y_17= 26.0 + 0.1x; interpolation
, 540.0 <= x < 570.0; y_18= -161.0 + 0.4667x; interpolation
, 570.0 <= x < 600.0; y_19= 73.0 + 0.0333x; interpolation
, 600.0 <= x < 630.0; y_20= 434.0 + -0.6x; interpolation
, 630.0 <= x < 660.0; y_21= -6.0 + 0.1333x; interpolation
, 660.0 <= x < 690.0; y_22= -258.0 + 0.5333x; interpolation
, 690.0 <= x < 720.0; y_23= 160.0 + -0.1x; interpolation
, 720.0 <= x < 750.0; y_24= 505.0 + -0.6x; interpolation
, 750.0 <= x < 780.0; y_25= -47.0 + 0.1667x; interpolation
, 780.0 <= x < 810.0; y_26= -347.0 + 0.5667x; interpolation
, 810.0 <= x < 840.0; y_27= 199.0 + -0.1333x; interpolation
, 840.0 <= x < 870.0; y_28= 523.0 + -0.5333x; interpolation
, 870.0 <= x < 900.0; y_29= 19.0 + 0.0667x; interpolation
, 900.0 <= x < 930.0; y_30= -358.0 + 0.5x; interpolation
, 930.0 <= x < 960.0; y_31= 572.0 + -0.5333x; interpolation
, 960.0 <= x < 990.0; y_32= 262.0 + -0.2x; interpolation
, 990.0 <= x < 1020.0; y_33= -90.0 + 0.1667x; interpolation
, 1020.0 <= x < 1050.0; y_34= -420.0 + 0.5x; interpolation
, 1050.0 <= x < 1080.0; y_35= 464.0 + -0.3667x; interpolation
, 1080.0 <= x < 1110.0; y_36= 359.0 + -0.2667x; interpolation
, 1110.0 <= x < 1140.0; y_37= -109.0 + 0.1667x; interpolation
, 1140.0 <= x < 1170.0; y_38= -479.0 + 0.5x; interpolation
, 1170.0 <= x < 1200.0; y_39= 699.0 + -0.5333x; interpolation
, 1200.0 <= x < 1230.0; y_40= 231.0 + -0.1333x; interpolation
, 1230.0 <= x < 1260.0; y_41= -129.0 + 0.1667x; interpolation
, 1260.0 <= x < 1290.0; y_42= -457.0 + 0.4333x; interpolation
, 1290.0 <= x < 1320.0; y_43= 299.0 + -0.1667x; interpolation
, 1320.0 <= x < 1350.0; y_44= 643.0 + -0.4333x; interpolation
, 1350.0 <= x < 1380.0; y_45= -193.0 + 0.2x; interpolation
, 1380.0 <= x < 1410.0; y_46= -553.0 + 0.4667x; interpolation
, 1410.0 <= x < 1440.0; y_47= 459.0 + -0.2667x; interpolation
, 1440.0 <= x < 1470.0; y_48= 694.0 + -0.4333x; interpolation
, 1470.0 <= x < 1500.0; y_49= -314.0 + 0.2667x; interpolation
, 1500.0 <= x < 1530.0; y_50= -510.0 + 0.4x; interpolation
, 1530.0 <= x < 1560.0; y_51= 490.0 + -0.2667x; interpolation
, 1560.0 <= x < 1590.0; y_52= 643.0 + -0.3667x; interpolation
, 1590.0 <= x < 1620.0; y_53= -553.0 + 0.4x; interpolation
, 1620.0 <= x < 1650.0; y_54= -288.0 + 0.2333x; interpolation
, 1650.0 <= x < 1680.0; y_55= 1170.0 + -0.6667x; interpolation
, 1680.0 <= x < 1710.0; y_56= 15.0 + 0.0333x; interpolation
, 1710.0 <= x < 1740.0; y_57= -377.0 + 0.2667x; interpolation
, 1740.0 <= x < 1770.0; y_58= -662.0 + 0.4333x; interpolation
, 1770.0 <= x < 1800.0; y_59= 1310.0 + -0.7x; interpolation
, 1800.0 <= x < 1830.0; y_60= 12.0 + 0.0333x; interpolation
, 1830.0 <= x < 1860.0; y_61= -1128.0 + 0.6667x; interpolation
, 1860.0 <= x < 1890.0; y_62= 275.0 + -0.1x; interpolation
, 1890.0 <= x < 1920.0; y_63= 1143.0 + -0.5667x; interpolation
, 1920.0 <= x < 1950.0; y_64= -1125.0 + 0.6333x; interpolation
, 1950.0 <= x < 1980.0; y_65= 1371.0 + -0.6667x; interpolation
, 1980.0 <= x < 2010.0; y_66= -59.0 + 0.0667x; interpolation
, 2010.0 <= x < 2040.0; y_67= -1115.0 + 0.6x; interpolation
, 2040.0 <= x < 2070.0; y_68= 292.0 + -0.1x; interpolation
, 2070.0 <= x < 2100.0; y_69= 1312.0 + -0.6x; interpolation
, 2100.0 <= x < 2130.0; y_70= -1586.0 + 0.8x; interpolation
, 2130.0 <= x < 2160.0; y_71= 1844.0 + -0.8333x; interpolation
, 2160.0 <= x < 2190.0; y_72= 211.0 + -0.0667x; interpolation
, 2190.0 <= x < 2220.0; y_73= -1661.0 + 0.8x; interpolation
, 2220.0 <= x < 2250.0; y_74= 383.0 + -0.1333x; interpolation
, 2250.0 <= x < 2280.0; y_75= 1419.0 + -0.6x; interpolation
, 2280.0 <= x < 2310.0; y_76= 69.0 + 0.0x; interpolation
, 2310.0 <= x < 2340.0; y_77= -1527.0 + 0.7x; interpolation
, 2340.0 <= x < 2370.0; y_78= 1399.0 + -0.5667x; interpolation
, 2370.0 <= x < 2400.0; y_79= -1409.0 + 0.6333x; interpolation
, 2400.0 <= x < 2430.0; y_80= 329.0 + -0.1x; interpolation
, 2430.0 <= x < 2460.0; y_81= 1609.0 + -0.6333x; interpolation
, 2460.0 <= x < 2490.0; y_82= -11.0 + 0.0333x; interpolation
, 2490.0 <= x < 2520.0; y_83= -1323.0 + 0.5667x; interpolation
, 2520.0 <= x < 2550.0; y_84= -161.0 + 0.1x; interpolation
, 2550.0 <= x < 2580.0; y_85= 2779.0 + -1.0667x; interpolation
, 2580.0 <= x < 2610.0; y_86= -961.0 + 0.4x; interpolation
, 2610.0 <= x < 2640.0; y_87= -1563.0 + 0.6333x; interpolation
, 2640.0 <= x < 2670.0; y_88= 264.0 + -0.0667x; interpolation
, 2670.0 <= x < 2700.0; y_89= 1672.0 + -0.6x; interpolation
, 2700.0 <= x < 2730.0; y_90= -19.0 + 0.0333x; interpolation
, 2730.0 <= x < 2760.0; y_91= -1729.0 + 0.6667x; interpolation
, 2760.0 <= x < 2790.0; y_92= 455.0 + -0.1333x; interpolation
, 2790.0 <= x < 2820.0; y_93= 1559.0 + -0.5333x; interpolation
, 2820.0 <= x < 2850.0; y_94= 71.0 + 0.0x; interpolation
, 2850.0 <= x < 2880.0; y_95= -1903.0 + 0.7x; interpolation
, 2880.0 <= x < 2910.0; y_96= 282.0 + -0.0667x; interpolation
, 2910.0 <= x < 2940.0; y_97= 2106.0 + -0.7x; interpolation
, 2940.0 <= x < 2970.0; y_98= -319.0 + 0.1333x; interpolation
, 2970.0 <= x < 3000.0; y_99= -1691.0 + 0.6x; interpolation
, 3000.0 <= x < 3030.0; y_100= -107.0 + 0.0667x; interpolation
, 3030.0 <= x < 3060.0; y_101= 2293.0 + -0.7333x; interpolation
, 3060.0 <= x < 3090.0; y_102= -131.0 + 0.0667x; interpolation
, 3090.0 <= x < 3120.0; y_103= -1457.0 + 0.5x; interpolation
, 3120.0 <= x < 3150.0; y_104= -118.0 + 0.0667x; interpolation
, 3150.0 <= x < 3180.0; y_105= 1962.0 + -0.6x; interpolation
, 3180.0 <= x < 3210.0; y_106= -138.0 + 0.0667x; interpolation
, 3210.0 <= x < 3240.0; y_107= -1728.0 + 0.5667x; interpolation
, 3240.0 <= x < 3270.0; y_108= 91.0 + 0.0x; interpolation
, 3270.0 <= x < 3300.0; y_109= 2251.0 + -0.6667x; interpolation
, 3300.0 <= x < 3330.0; y_110= -38.0 + 0.0333x; interpolation
, 3330.0 <= x < 3360.0; y_111= 292.0 + -0.0667x; interpolation
, 3360.0 <= x < 3390.0; y_112= -152.0 + 0.0667x; interpolation
, 3390.0 <= x < 3420.0; y_113= -2056.0 + 0.6333x; interpolation
, 3420.0 <= x < 3450.0; y_114= 317.0 + -0.0667x; interpolation
, 3450.0 <= x < 3480.0; y_115= 2255.0 + -0.6333x; interpolation
, 3480.0 <= x < 3510.0; y_116= -45.0 + 0.0333x; interpolation
, 3510.0 <= x < 3540.0; y_117= -2249.0 + 0.6667x; interpolation
, 3540.0 <= x < 3570.0; y_118= 559.0 + -0.1333x; interpolation
, 3570.0 <= x < 3600.0; y_119= 2211.0 + -0.6x; interpolation
, 3600.0 <= x < 3630.0; y_120= -407.0 + 0.1333x; interpolation
, 3630.0 <= x < 3660.0; y_121= -1487.0 + 0.4333x; interpolation
, 3660.0 <= x < 3690.0; y_122= -156.0 + 0.0667x; interpolation
, 3690.0 <= x < 3720.0; y_123= 2284.0 + -0.6x; interpolation
