[0.0 <= x < 30.0; y_0= 58.0 + 0.0333x; interpolation
, 30.0 <= x < 60.0; y_1= 58.0 + 0.3667x; interpolation
, 60.0 <= x < 90.0; y_2= 80.0 + -0.3667x; interpolation
, 90.0 <= x < 120.0; y_3= 54.0 + 0.0667x; interpolation
, 120.0 <= x < 150.0; y_4= 18.0 + 0.4667x; interpolation
, 150.0 <= x < 180.0; y_5= 122.0 + -0.4x; interpolation
, 180.0 <= x < 210.0; y_6= -18.0 + 0.5333x; interpolation
, 210.0 <= x < 240.0; y_7= 96.0 + -0.1x; interpolation
, 240.0 <= x < 270.0; y_8= 180.0 + -0.5x; interpolation
, 270.0 <= x < 300.0; y_9= 20.0 + 0.1667x; interpolation
, 300.0 <= x < 330.0; y_10= -43.0 + 0.4x; interpolation
, 330.0 <= x < 360.0; y_11= 87.0 + -0.0333x; interpolation
, 360.0 <= x < 390.0; y_12= 219.0 + -0.4333x; interpolation
, 390.0 <= x < 420.0; y_13= 87.0 + -0.0667x; interpolation
, 420.0 <= x < 450.0; y_14= -160.0 + 0.5667x; interpolation
, 450.0 <= x < 480.0; y_15= 148.0 + -0.1667x; interpolation
, 480.0 <= x < 510.0; y_16= 238.0 + -0.3667x; interpolation
, 510.0 <= x < 540.0; y_17= -2.0 + 0.1333x; interpolation
, 540.0 <= x < 570.0; y_18= -138.0 + 0.4x; interpolation
, 570.0 <= x < 600.0; y_19= 96.0 + -0.0333x; interpolation
, 600.0 <= x < 630.0; y_20= 343.0 + -0.4667x; interpolation
, 630.0 <= x < 660.0; y_21= 3.0 + 0.1x; interpolation
, 660.0 <= x < 690.0; y_22= -207.0 + 0.4333x; interpolation
, 690.0 <= x < 720.0; y_23= 167.0 + -0.1333x; interpolation
, 720.0 <= x < 750.0; y_24= 305.0 + -0.3333x; interpolation
, 750.0 <= x < 780.0; y_25= 89.0 + -0.0333x; interpolation
, 780.0 <= x < 810.0; y_26= -336.0 + 0.5333x; interpolation
, 810.0 <= x < 840.0; y_27= 158.0 + -0.1x; interpolation
, 840.0 <= x < 870.0; y_28= 401.0 + -0.4x; interpolation
, 870.0 <= x < 900.0; y_29= 37.0 + 0.0333x; interpolation
, 900.0 <= x < 930.0; y_30= -166.0 + 0.2667x; interpolation
, 930.0 <= x < 960.0; y_31= 434.0 + -0.4x; interpolation
, 960.0 <= x < 990.0; y_32= 31.0 + 0.0333x; interpolation
, 990.0 <= x < 1020.0; y_33= -1.0 + 0.0667x; interpolation
, 1020.0 <= x < 1050.0; y_34= -364.0 + 0.4333x; interpolation
, 1050.0 <= x < 1080.0; y_35= 146.0 + -0.0667x; interpolation
, 1080.0 <= x < 1110.0; y_36= 636.0 + -0.5333x; interpolation
, 1110.0 <= x < 1140.0; y_37= -48.0 + 0.1x; interpolation
, 1140.0 <= x < 1170.0; y_38= -418.0 + 0.4333x; interpolation
, 1170.0 <= x < 1200.0; y_39= 380.0 + -0.2667x; interpolation
, 1200.0 <= x < 1230.0; y_40= 380.0 + -0.2667x; interpolation
, 1230.0 <= x < 1260.0; y_41= -220.0 + 0.2333x; interpolation
, 1260.0 <= x < 1290.0; y_42= -384.0 + 0.3667x; interpolation
, 1290.0 <= x < 1320.0; y_43= 624.0 + -0.4333x; interpolation
, 1320.0 <= x < 1350.0; y_44= 280.0 + -0.1667x; interpolation
, 1350.0 <= x < 1380.0; y_45= -292.0 + 0.2667x; interpolation
, 1380.0 <= x < 1410.0; y_46= -292.0 + 0.2667x; interpolation
, 1410.0 <= x < 1440.0; y_47= 306.0 + -0.1667x; interpolation
, 1440.0 <= x < 1470.0; y_48= 541.0 + -0.3333x; interpolation
, 1470.0 <= x < 1500.0; y_49= -275.0 + 0.2333x; interpolation
, 1500.0 <= x < 1530.0; y_50= -226.0 + 0.2x; interpolation
, 1530.0 <= x < 1560.0; y_51= 924.0 + -0.5667x; interpolation
, 1560.0 <= x < 1590.0; y_52= -249.0 + 0.2x; interpolation
, 1590.0 <= x < 1620.0; y_53= -353.0 + 0.2667x; interpolation
, 1620.0 <= x < 1650.0; y_54= -194.0 + 0.1667x; interpolation
, 1650.0 <= x < 1680.0; y_55= 1048.0 + -0.6x; interpolation
, 1680.0 <= x < 1710.0; y_56= -52.0 + 0.0667x; interpolation
, 1710.0 <= x < 1740.0; y_57= -612.0 + 0.4x; interpolation
, 1740.0 <= x < 1770.0; y_58= -327.0 + 0.2333x; interpolation
, 1770.0 <= x < 1800.0; y_59= 1239.0 + -0.6667x; interpolation
, 1800.0 <= x < 1830.0; y_60= -177.0 + 0.1333x; interpolation
, 1830.0 <= x < 1860.0; y_61= -477.0 + 0.3x; interpolation
